"","years","playoff_teams_num"
"1",1975,4
"2",1976,4
"3",1977,4
"4",1978,4
"5",1979,4
"6",1980,4
"7",1981,8
"8",1982,4
"9",1983,4
"10",1984,4
"11",1985,4
"12",1986,4
"13",1987,4
"14",1988,4
"15",1989,4
"16",1990,4
"17",1991,4
"18",1992,4
"19",1993,4
"20",1994,0
"21",1995,8
"22",1996,8
"23",1997,8
"24",1998,8
"25",1999,8
"26",2000,8
"27",2001,8
"28",2002,8
"29",2003,8
"30",2004,8
"31",2005,8
"32",2006,8
"33",2007,8
"34",2008,8
"35",2009,8
"36",2010,8
"37",2011,8
"38",2012,10
"39",2013,10
"40",2014,10
"41",2015,10
"42",2016,10
"43",2017,10
"44",2018,10
"45",2019,10
